id,idPlayer,idMedal,dtCreatedAt,dtExpiration,dtRemove,flActive
1,1982,1,2018-10-04,2016-07-23,2016-07-24,0
2,1982,1,2018-12-12,2017-01-11,2017-01-12,0
3,1982,1,2019-01-08,2017-03-16,2017-03-17,0
4,1982,1,2018-12-09,2017-09-10,2017-09-11,0
5,1982,1,2018-10-04,2018-03-19,2018-03-20,0
6,1982,1,2018-12-09,2018-11-06,2018-11-07,0
7,1982,1,2019-02-21,2019-04-19,2019-04-20,0
8,1982,1,2020-01-27,2021-01-27,2021-01-28,0
9,1982,1,2021-07-11,2022-07-11,,1
22,1529,1,2018-12-31,,,1
23,1529,1,2019-01-08,,2018-12-29,0
24,1529,1,2018-12-11,,2018-12-08,0
25,1529,1,2019-01-28,,2019-01-29,0
26,1529,1,2018-10-05,,2018-10-05,0
27,1529,1,2019-01-09,2017-05-21,2017-05-20,0
28,1529,1,2018-09-30,2017-03-10,2017-03-10,0
29,1529,1,2018-10-04,2017-04-14,2017-04-15,0
30,1529,1,2019-01-10,2017-08-26,2017-08-27,0
31,1529,1,2018-08-29,2017-05-17,2017-05-18,0
32,1529,1,2018-10-02,2017-07-21,2017-07-22,0
33,1529,1,2018-12-06,2017-10-30,2017-10-30,0
34,1529,1,2018-09-30,2017-09-24,2017-09-25,0
35,1529,1,2018-12-12,2018-01-15,2018-01-16,0
36,1529,1,2018-08-30,2017-11-05,2017-11-06,0
37,1529,1,2019-01-10,2018-06-20,2018-06-21,0
38,1529,1,2018-09-30,2018-04-12,2018-04-13,0
39,1529,1,2018-09-30,2018-04-16,2018-04-17,0
40,1529,1,2018-09-29,2018-04-19,2018-04-20,0
41,1529,1,2019-01-12,2018-08-22,2018-06-24,0
42,1529,1,2018-12-11,2018-08-04,2018-08-05,0
43,1529,1,2018-08-30,2018-08-11,2018-08-12,0
44,1529,1,2018-10-03,2018-11-02,2018-11-03,0
63,2419,1,2019-01-10,2016-06-13,2016-06-09,0
64,2419,1,2018-08-30,2016-09-05,2016-09-06,0
65,2419,1,2018-09-04,2016-10-12,2016-10-11,0
66,2419,1,2018-08-29,2016-11-04,2016-11-04,0
67,2419,1,2019-01-08,2017-04-13,2017-04-13,0
68,2419,1,2018-12-08,2017-04-15,2017-04-15,0
69,2419,1,2018-10-01,2017-03-07,2017-03-07,0
70,2419,1,2018-08-30,2017-03-05,2017-03-05,0
71,2419,1,2019-01-10,2017-08-15,2017-08-16,0
72,2419,1,2018-09-30,2017-06-09,2017-06-09,0
73,2419,1,2018-08-30,2017-06-08,2017-06-09,0
74,2419,1,2018-10-02,2017-09-17,2017-09-18,0
75,2419,1,2018-09-01,2018-02-17,2018-02-18,0
76,2419,1,2018-09-01,2018-06-05,2018-06-06,0
77,2419,1,2019-01-07,2019-01-02,2019-01-03,0
78,2419,1,2020-11-17,2020-12-17,2020-12-18,0
79,2419,1,2021-01-13,2021-02-17,2021-02-17,0
80,2419,1,2021-01-17,2021-02-18,2021-02-19,0
81,2419,1,2022-03-21,2022-04-20,,1
111,1051,1,2018-10-02,2016-04-01,2016-03-29,0
112,1051,1,2018-12-10,2017-01-15,2017-01-16,0
